Jan 7,Friday,International Programmers' Day
Jan 16,Sunday,World Religion Day
Jan 26,Wednesday,International Customs Day
Jan 30,Sunday,World Leprosy Day
Feb 2,Wednesday,World Wetlands Day
Feb 4,Friday,World Cancer Day
Feb 11,Friday,World Day of the Sick
29 Feb,Tuesday,Leap Day
Mar 1,Wednesday,Self-Injury Awareness Day
Mar 9,Thursday,World Kidney Day
Mar 15,Wednesday,Long Covid Awareness Day
Mar 25,Saturday,Earth Hour
Mar 31,Friday,International Transgender Day of Visibility
Apr 1,Saturday,April Fool's Day
Apr 15,Saturday,World Art Day
Apr 18,Tuesday,International Day for Monuments and Sites
May 7,Sunday,International Family Equality Day
May 8,Monday,World Ovarian Cancer Day
May 8,Monday,World Red Cross and Red Crescent Day
May 12,Friday,International Nurses Day
May 20,Saturday,World Autoimmune / Autoinflammatory Arthritis Day
May 25,Thursday,African Liberation Day
Aug 31,Thursday,International Overdose Awareness Day
Sep 4,Monday,World Sexual Health Day
Sep 7,Thursday,Still's Disease Awareness Day
Sep 10,Sunday,World Suicide Prevention Day
Sep 12,Tuesday,International Programmers' Day
Sep 23,Saturday,International Celebrate Bisexuality Day
Sep 28,Thursday,World Rabies Day
Sep 29,Friday,World Heart Day
Oct 1,Sunday,World Vegetarian Day
Oct 6,Friday,World Cerebral Palsy Day
Oct 12,Thursday,World Sight Day
Oct 13,Friday,Friday the 13th
Oct 29,Sunday,World Stroke Day
Nov 1,Wednesday,World Vegan Day
Nov 11,Saturday,Singles' Day
Nov 12,Sunday,World Pneumonia Day
Nov 17,Friday,World Prematurity Day
Nov 17,Friday,Fake Friday
Nov 19,Sunday,International Men's Day
Nov 20,Monday,Transgender Day of Remembrance
Nov 28,Tuesday,GivingTuesday
Dec 11,Monday,Green Monday
Dec 23,Saturday,Super Saturday